site_id,poly1,poly2,poly3,max-by-site,max-config,MAE_meters,RMSE_meters
ARB063,0.442517256605314,0.5094126557338801,-0.4025819389484009,0.5094126557338801,poly2,0.07269837767981606,0.09591753349774791
ARB071,0.3461495248801496,0.3005914774814567,0.2318300353333251,0.3461495248801496,poly1,0.07172138471136282,0.11497976432633748
ARB083,-0.7405993910718505,-0.7421756731811138,-1.5355697971015905,-0.7405993910718505,poly1,0.12360749485680123,0.16563037708168155
ARB084,0.2272939182576744,0.227038880453145,0.2950987020321111,0.2950987020321111,poly3,0.041658327531109866,0.0709767361634203
DET004,0.3455168780611029,0.3473865922103247,0.3540803462786526,0.3540803462786526,poly3,0.23536495451791759,0.3352867363326369
DET008,0.403918753097013,0.4026426940607938,0.4627989943492625,0.4627989943492625,poly3,0.1155514237530682,0.1988668675544811
DET009,0.3424791263353928,0.2320120581545472,0.1244912772619833,0.3424791263353928,poly1,0.270748307167777,0.3810004620394577
DET011,0.1025450112052253,0.0947480526375432,0.1696439368839377,0.1696439368839377,poly3,0.1317591127915396,0.21347414288345404
DET012,0.3990864911095411,0.3112649760675273,0.3119487615516322,0.3990864911095411,poly1,0.06730344442836994,0.11018707790314622
DET015,0.245576685430239,0.2332086465677562,0.2277395228950788,0.245576685430239,poly1,0.06889472185376588,0.10243958560619508
DET016,0.3552197407973465,0.3552184094847652,0.0895987239055073,0.3552197407973465,poly1,0.040955611437547584,0.06869665511478547
DET021,0.3218181206687487,0.6840626038700867,0.514726923731037,0.6840626038700867,poly2,0.05180124259521573,0.07224932070028794
DET027,0.3023388509122549,0.293723440402641,-0.678963222625961,0.3023388509122549,poly1,0.0654548484508863,0.0947318410841382
DET033,0.4826211771166697,0.5227945768308143,0.3812234626327968,0.5227945768308143,poly2,0.24561391197031898,0.34621746747128623
DET038,0.1759566930733903,0.1813022372043186,0.3601707764991316,0.3601707764991316,poly3,0.0750035242635442,0.21590301484493424
MDOT10428,0.4631022749270497,0.18094951985843,0.4272359076932782,0.4631022749270497,poly1,0.38755251443496835,0.5601017901797607
MDOT1072,0.1900726948947066,0.0903743244853547,-0.5162169890326518,0.1900726948947066,poly1,0.11954906214328792,0.16404089255228957
MDOT1091,0.0347377601340185,0.0440228152842623,-0.0914550850418689,0.0440228152842623,poly2,0.17730073846505526,0.20129074829498625
MDOT11328,-0.3544103432679326,-0.3009322850522831,0.2063650861308186,0.2063650861308186,poly3,0.16660488013255925,0.501542915642653
MDOT1500,-0.3578980683884145,-0.3427232962238107,-0.3419008533692376,-0.3419008533692376,poly3,0.04200747860053062,0.054721729522495696
MDOT2471,0.2124756377374413,0.238643906097454,-0.0373691639858027,0.238643906097454,poly2,0.17095980326379395,0.2366590675975733
MDOT2491,-0.5918738238006183,-0.6698184035503782,-0.5380679261485355,-0.5380679261485355,poly3,0.165000382671811,0.27467246309843646
MDOT2613,0.1108901617594039,-0.1490487756397291,-0.171431998529697,0.1108901617594039,poly1,0.49747135953605487,0.6362470019563293
MDOT2892,-0.76018778195813,-2.0501472124604287,-37.85838758200045,-0.76018778195813,poly1,0.02881943236290706,0.04025681471456302
MDOT2954,-0.4946417453240619,-0.4653729196828735,-0.7096823399207202,-0.4653729196828735,poly2,0.1659922229074522,0.20197421381216968
MDOT3082,-4.236992736802008,-4.00035845808402,-0.0298719632077797,-0.0298719632077797,poly3,0.054310638326929776,0.1944992378540818
MDOT335,-0.6177148414171523,-0.8088154247550186,-0.6195552813164398,-0.6177148414171523,poly1,0.027548926538785174,0.03828713641078132
MDOT390,-1.54726865946326,-1.5510882376123414,-0.665403874457472,-0.665403874457472,poly3,0.1262898775460875,0.17688604649148418
